suburb,local_board,region,metric,count,known_suburb,known_board,known_region,p_suburb,p_board,p_region
Otara,Ōtara-Papatoetoe Local Board Area,south,animal_desexed,592,1694,5192,33754,0.34946871310507677,0.44895993836671805,0.560407655388991
Otara,Ōtara-Papatoetoe Local Board Area,south,classification,427,1694,5192,33754,0.25206611570247933,0.15677966101694915,0.10665402618948866
Otara,Ōtara-Papatoetoe Local Board Area,south,current_reg,1293,1694,5192,33754,0.7632821723730815,0.8164483821263482,0.8430111986727499
Otara,Ōtara-Papatoetoe Local Board Area,south,owner_reg,112,1694,5192,33754,0.06611570247933884,0.21610169491525424,0.29629080997807666
Oteha,Upper Harbour Local Board Area,north,animal_desexed,151,222,5464,43051,0.6801801801801802,0.7016837481698389,0.7100648068569836
Oteha,Upper Harbour Local Board Area,north,classification,4,222,5464,43051,0.018018018018018018,0.016471449487554905,0.016979861094980373
Oteha,Upper Harbour Local Board Area,north,current_reg,205,222,5464,43051,0.9234234234234234,0.9302708638360175,0.9315695338087385
Oteha,Upper Harbour Local Board Area,north,owner_reg,68,222,5464,43051,0.3063063063063063,0.3444363103953148,0.36059557269285264
Outlying Islands,Waiheke Local Board Area,north,animal_desexed,3,4,1207,43051,0.75,0.6909693454846727,0.7100648068569836
Outlying Islands,Waiheke Local Board Area,north,classification,0,4,1207,43051,0,0.01739850869925435,0.016979861094980373
Outlying Islands,Waiheke Local Board Area,north,current_reg,4,4,1207,43051,1,0.9312344656172328,0.9315695338087385
Outlying Islands,Waiheke Local Board Area,north,owner_reg,0,4,1207,43051,0,0.26843413421706713,0.36059557269285264
Owairaka,Albert-Eden Local Board Area,central,animal_desexed,141,265,6233,25368,0.5320754716981132,0.673672388897802,0.6542100283822138
Owairaka,Albert-Eden Local Board Area,central,classification,26,265,6233,25368,0.09811320754716982,0.027274185785336115,0.03717281614632608
Owairaka,Albert-Eden Local Board Area,central,current_reg,216,265,6233,25368,0.8150943396226416,0.9359858815979464,0.9155234941658783
Owairaka,Albert-Eden Local Board Area,central,owner_reg,56,265,6233,25368,0.21132075471698114,0.2826889138456602,0.2651371807000946
Pakiri,Rodney Local Board Area,north,animal_desexed,50,82,12635,43051,0.6097560975609756,0.6839730906212901,0.7100648068569836
Pakiri,Rodney Local Board Area,north,classification,2,82,12635,43051,0.024390243902439025,0.015116739216462208,0.016979861094980373
Pakiri,Rodney Local Board Area,north,current_reg,72,82,12635,43051,0.8780487804878049,0.9270280965571824,0.9315695338087385
Pakiri,Rodney Local Board Area,north,owner_reg,22,82,12635,43051,0.2682926829268293,0.39746735259200633,0.36059557269285264
Pakuranga,Howick Local Board Area,east,animal_desexed,317,515,8904,8904,0.6155339805825243,0.6630727762803235,0.6630727762803235
Pakuranga,Howick Local Board Area,east,classification,29,515,8904,8904,0.05631067961165048,0.037511230907457324,0.037511230907457324
Pakuranga,Howick Local Board Area,east,current_reg,454,515,8904,8904,0.8815533980582524,0.9174528301886793,0.9174528301886793
Pakuranga,Howick Local Board Area,east,owner_reg,139,515,8904,8904,0.26990291262135924,0.3314240790655885,0.3314240790655885
Pakuranga Heights,Howick Local Board Area,east,animal_desexed,427,693,8904,8904,0.6161616161616161,0.6630727762803235,0.6630727762803235
Pakuranga Heights,Howick Local Board Area,east,classification,58,693,8904,8904,0.0836940836940837,0.037511230907457324,0.037511230907457324
Pakuranga Heights,Howick Local Board Area,east,current_reg,604,693,8904,8904,0.8715728715728716,0.9174528301886793,0.9174528301886793
Pakuranga Heights,Howick Local Board Area,east,owner_reg,210,693,8904,8904,0.30303030303030304,0.3314240790655885,0.3314240790655885
Panmure,Maungakiekie-Tāmaki Local Board Area,central,animal_desexed,282,511,5484,25368,0.5518590998043053,0.5951859956236324,0.6542100283822138
Panmure,Maungakiekie-Tāmaki Local Board Area,central,classification,51,511,5484,25368,0.09980430528375733,0.08460977388767323,0.03717281614632608
Panmure,Maungakiekie-Tāmaki Local Board Area,central,current_reg,423,511,5484,25368,0.8277886497064579,0.8659737417943107,0.9155234941658783
Panmure,Maungakiekie-Tāmaki Local Board Area,central,owner_reg,125,511,5484,25368,0.2446183953033268,0.2671407731582786,0.2651371807000946
Papakura,Papakura Local Board Area,south,animal_desexed,2441,4176,5967,33754,0.5845306513409961,0.5828724652254064,0.560407655388991
Papakura,Papakura Local Board Area,south,classification,410,4176,5967,33754,0.09818007662835249,0.08982738394503101,0.10665402618948866
Papakura,Papakura Local Board Area,south,current_reg,3434,4176,5967,33754,0.8223180076628352,0.8327467739232445,0.8430111986727499
Papakura,Papakura Local Board Area,south,owner_reg,1369,4176,5967,33754,0.3278256704980843,0.32797050444109266,0.29629080997807666
Papatoetoe,Ōtara-Papatoetoe Local Board Area,south,animal_desexed,954,2007,5192,33754,0.47533632286995514,0.44895993836671805,0.560407655388991
Papatoetoe,Ōtara-Papatoetoe Local Board Area,south,classification,296,2007,5192,33754,0.1474838066766318,0.15677966101694915,0.10665402618948866
Papatoetoe,Ōtara-Papatoetoe Local Board Area,south,current_reg,1616,2007,5192,33754,0.8051818634778276,0.8164483821263482,0.8430111986727499
Papatoetoe,Ōtara-Papatoetoe Local Board Area,south,owner_reg,407,2007,5192,33754,0.2027902341803687,0.21610169491525424,0.29629080997807666
Parakai,Rodney Local Board Area,north,animal_desexed,153,209,12635,43051,0.7320574162679426,0.6839730906212901,0.7100648068569836
Parakai,Rodney Local Board Area,north,classification,17,209,12635,43051,0.08133971291866028,0.015116739216462208,0.016979861094980373
Parakai,Rodney Local Board Area,north,current_reg,179,209,12635,43051,0.8564593301435407,0.9270280965571824,0.9315695338087385
Parakai,Rodney Local Board Area,north,owner_reg,78,209,12635,43051,0.37320574162679426,0.39746735259200633,0.36059557269285264
Parau,Waitākere Ranges Local Board Area,west,animal_desexed,61,76,6064,20046,0.8026315789473685,0.7204815303430079,0.6577870896937045
Parau,Waitākere Ranges Local Board Area,west,classification,1,76,6064,20046,0.013157894736842105,0.033641160949868076,0.05711862715753766
